"","Company","Report_Date","OperatingExpenses","Last_Year_OperatingExpenses","Growth"
"1","BBT",2009-06-30,1.181e+09,NA,NA
"2","BBT",2009-09-30,1.32e+09,NA,NA
"3","BBT",2009-12-31,1.361e+09,NA,NA
"4","BBT",2010-03-31,1.341e+09,NA,NA
"5","BBT",2010-06-30,1.5e+09,1.181e+09,0.27
"6","BBT",2010-09-30,1.408e+09,1.32e+09,0.067
"7","BBT",2010-12-31,1.421e+09,1.361e+09,0.044
"8","BBT",2011-03-31,1.372e+09,1.341e+09,0.023
"9","BBT",2011-06-30,1.395e+09,1.5e+09,-0.07
"10","BBT",2011-09-30,1.417e+09,1.408e+09,0.006
"11","BBT",2011-12-31,1.618e+09,1.421e+09,0.139
"12","BBT",2012-03-31,1.385e+09,1.372e+09,0.009
"13","BBT",2012-06-30,1.426e+09,1.395e+09,0.022
"14","BBT",2012-09-30,1.529e+09,1.417e+09,0.079
"15","BBT",2012-12-31,1.486e+09,1.618e+09,-0.082
"16","BBT",2013-03-31,1.414e+09,1.385e+09,0.021
"17","BBT",2013-06-30,1.496e+09,1.426e+09,0.049
"18","BBT",2013-09-30,1.471e+09,1.529e+09,-0.038
"19","BBT",2013-12-31,1.396e+09,1.486e+09,-0.061
"20","BBT",2014-03-31,1.385e+09,1.414e+09,-0.021
"21","BBT",2014-06-30,1.534e+09,1.496e+09,0.025
"22","BBT",2014-09-30,1.417e+09,1.471e+09,-0.037
"23","BBT",2014-12-31,1.394e+09,1.396e+09,-0.001
"24","BBT",2015-03-31,1.422e+09,1.385e+09,0.027
"25","BBT",2015-06-30,1.481e+09,1.534e+09,-0.035
"26","BBT",2015-09-30,1.594e+09,1.417e+09,0.125
"27","BBT",2015-12-31,1.597e+09,1.394e+09,0.146
"28","BBT",2016-03-31,1.546e+09,1.422e+09,0.087
"29","BBT",2016-06-30,1.797e+09,1.481e+09,0.213
"30","BBT",2016-09-30,1.711e+09,1.594e+09,0.073
"31","BBT",2016-12-31,1.668e+09,1.597e+09,0.044
"32","BBT",2017-03-31,1.71e+09,1.546e+09,0.106
"33","BBT",2017-06-30,1.742e+09,1.797e+09,-0.031
"34","BBT",2017-09-30,1.745e+09,1.711e+09,0.02
"35","BBT",2017-12-31,1.855e+09,1.668e+09,0.112
"36","BBT",2018-03-31,1.686e+09,1.71e+09,-0.014
"37","BBT",2018-06-30,1.72e+09,1.742e+09,-0.013
"38","BBT",2018-09-30,1.742e+09,1.745e+09,-0.002
"39","BBT",2018-12-31,1.784e+09,1.855e+09,-0.038
"40","BBT",2019-03-31,1.768e+09,1.686e+09,0.049
"41","BBT",2019-06-30,1.751e+09,1.72e+09,0.018
"42","CFG",2013-09-30,7.88e+08,NA,NA
"43","CFG",2013-12-31,8.18e+08,NA,NA
"44","CFG",2014-03-31,8.1e+08,NA,NA
"45","CFG",2014-06-30,9.48e+08,NA,NA
"46","CFG",2014-09-30,8.1e+08,7.88e+08,0.028
"47","CFG",2014-12-31,8.24e+08,8.18e+08,0.007
"48","CFG",2015-03-31,8.1e+08,8.1e+08,0
"49","CFG",2015-06-30,8.41e+08,9.48e+08,-0.113
"50","CFG",2015-09-30,7.98e+08,8.1e+08,-0.015
"51","CFG",2015-12-31,8.1e+08,8.24e+08,-0.017
"52","CFG",2016-03-31,8.11e+08,8.1e+08,0.001
"53","CFG",2016-06-30,8.27e+08,8.41e+08,-0.017
"54","CFG",2016-09-30,8.67e+08,7.98e+08,0.086
"55","CFG",2016-12-31,8.47e+08,8.1e+08,0.046
"56","CFG",2017-03-31,8.54e+08,8.11e+08,0.053
"57","CFG",2017-06-30,8.64e+08,8.27e+08,0.045
"58","CFG",2017-09-30,8.58e+08,8.67e+08,-0.01
"59","CFG",2017-12-31,8.98e+08,8.47e+08,0.06
"60","CFG",2018-03-31,8.83e+08,8.54e+08,0.034
"61","CFG",2018-06-30,8.75e+08,8.64e+08,0.013
"62","CFG",2018-09-30,9.1e+08,8.58e+08,0.061
"63","CFG",2018-12-31,9.51e+08,8.98e+08,0.059
"64","CFG",2019-03-31,9.37e+08,8.83e+08,0.061
"65","CMA",2009-06-30,4.29e+08,NA,NA
"66","CMA",2009-09-30,3.99e+08,NA,NA
"67","CMA",2009-12-31,4.25e+08,NA,NA
"68","CMA",2010-03-31,4.04e+08,NA,NA
"69","CMA",2010-06-30,3.97e+08,4.29e+08,-0.075
"70","CMA",2010-09-30,4.02e+08,3.99e+08,0.008
"71","CMA",2010-12-31,4.39e+08,4.25e+08,0.033
"72","CMA",2011-03-31,4.15e+08,4.04e+08,0.027
"73","CMA",2011-06-30,4.11e+08,3.97e+08,0.035
"74","CMA",2011-09-30,4.63e+08,4.02e+08,0.152
"75","CMA",2011-12-31,4.79e+08,4.39e+08,0.091
"76","CMA",2012-03-31,4.48e+08,4.15e+08,0.08
"77","CMA",2012-06-30,4.34e+08,4.11e+08,0.056
"78","CMA",2012-09-30,4.49e+08,4.63e+08,-0.03
"79","CMA",2012-12-31,4.27e+08,4.79e+08,-0.109
"80","CMA",2013-03-31,4.16e+08,4.48e+08,-0.071
"81","CMA",2013-06-30,4.16e+08,4.34e+08,-0.041
"82","CMA",2013-09-30,4.17e+08,4.49e+08,-0.071
"83","CMA",2013-12-31,4.73e+08,4.27e+08,0.108
"84","CMA",2014-03-31,4.06e+08,4.16e+08,-0.024
"85","CMA",2014-06-30,4.04e+08,4.16e+08,-0.029
"86","CMA",2014-09-30,4.29e+08,4.17e+08,0.029
"87","CMA",2014-12-31,4.08e+08,4.73e+08,-0.137
"88","CMA",2015-03-31,4.56e+08,4.06e+08,0.123
"89","CMA",2015-06-30,4.33e+08,4.04e+08,0.072
"90","CMA",2015-09-30,4.57e+08,4.29e+08,0.065
"91","CMA",2015-12-31,4.82e+08,4.08e+08,0.181
"92","CMA",2016-03-31,4.58e+08,4.56e+08,0.004
"93","CMA",2016-06-30,5.18e+08,4.33e+08,0.196
"94","CMA",2016-09-30,4.93e+08,4.57e+08,0.079
"95","CMA",2016-12-31,4.61e+08,4.82e+08,-0.044
"96","CMA",2017-03-31,4.57e+08,4.58e+08,-0.002
"97","CMA",2017-06-30,4.57e+08,5.18e+08,-0.118
"98","CMA",2017-09-30,4.63e+08,4.93e+08,-0.061
"99","CMA",2017-12-31,4.83e+08,4.61e+08,0.048
"100","CMA",2018-03-31,4.46e+08,4.57e+08,-0.024
"101","CMA",2018-06-30,4.48e+08,4.57e+08,-0.02
"102","CMA",2018-09-30,4.52e+08,4.63e+08,-0.024
"103","CMA",2018-12-31,4.48e+08,4.83e+08,-0.072
"104","CMA",2019-03-31,4.33e+08,4.46e+08,-0.029
"105","CMA",2019-06-30,4.24e+08,4.48e+08,-0.054
"106","FITB",2009-06-30,1.021e+09,NA,NA
"107","FITB",2009-09-30,8.76e+08,NA,NA
"108","FITB",2009-12-31,9.67e+08,NA,NA
"109","FITB",2010-03-31,9.56e+08,NA,NA
"110","FITB",2010-06-30,9.35e+08,1.021e+09,-0.084
"111","FITB",2010-09-30,9.79e+08,8.76e+08,0.118
"112","FITB",2010-12-31,9.86e+08,9.67e+08,0.02
"113","FITB",2011-03-31,9.18e+08,9.56e+08,-0.04
"114","FITB",2011-06-30,9.01e+08,9.35e+08,-0.036
"115","FITB",2011-09-30,9.46e+08,9.79e+08,-0.034
"116","FITB",2011-12-31,9.93e+08,9.86e+08,0.007
"117","FITB",2012-03-31,9.73e+08,9.18e+08,0.06
"118","FITB",2012-06-30,9.37e+08,9.01e+08,0.04
"119","FITB",2012-09-30,1.006e+09,9.46e+08,0.063
"120","FITB",2012-12-31,1.163e+09,9.93e+08,0.171
"121","FITB",2013-03-31,9.78e+08,9.73e+08,0.005
"122","FITB",2013-06-30,1.035e+09,9.37e+08,0.105
"123","FITB",2013-09-30,9.59e+08,1.006e+09,-0.047
"124","FITB",2013-12-31,9.89e+08,1.163e+09,-0.15
"125","FITB",2014-03-31,9.5e+08,9.78e+08,-0.029
"126","FITB",2014-06-30,9.54e+08,1.035e+09,-0.078
"127","FITB",2014-09-30,8.88e+08,9.59e+08,-0.074
"128","FITB",2014-12-31,9.17e+08,9.89e+08,-0.073
"129","FITB",2015-03-31,9.23e+08,9.5e+08,-0.028
"130","FITB",2015-06-30,9.47e+08,9.54e+08,-0.007
"131","FITB",2015-09-30,9.43e+08,8.88e+08,0.062
"132","FITB",2015-12-31,9.61e+08,9.17e+08,0.048
"133","FITB",2016-03-31,9.86e+08,9.23e+08,0.068
"134","FITB",2016-06-30,9.83e+08,9.47e+08,0.038
"135","FITB",2016-09-30,9.73e+08,9.43e+08,0.032
"136","FITB",2016-12-31,8.18e+08,9.61e+08,-0.149
"137","FITB",2017-03-31,9.86e+08,9.86e+08,0
"138","FITB",2017-06-30,9.57e+08,9.83e+08,-0.026
"139","FITB",2017-09-30,9.75e+08,9.73e+08,0.002
"140","FITB",2017-12-31,8.64e+08,8.18e+08,0.056
"141","FITB",2018-03-31,1.01e+09,9.86e+08,0.024
"142","FITB",2018-06-30,1.037e+09,9.57e+08,0.084
"143","FITB",2018-09-30,1.008e+09,9.75e+08,0.034
"144","FITB",2018-12-31,8.38e+08,8.64e+08,-0.03
"145","FITB",2019-03-31,1.097e+09,1.01e+09,0.086
"146","HBAN",2009-06-30,339982000,NA,NA
"147","HBAN",2009-09-30,401097000,NA,NA
"148","HBAN",2009-12-31,322595000,NA,NA
"149","HBAN",2010-03-31,398093000,NA,NA
"150","HBAN",2010-06-30,413810000,339982000,0.217
"151","HBAN",2010-09-30,427309000,401097000,0.065
"152","HBAN",2010-12-31,434592000,322595000,0.347
"153","HBAN",2011-03-31,430699000,398093000,0.082
"154","HBAN",2011-06-30,428409000,413810000,0.035
"155","HBAN",2011-09-30,439118000,427309000,0.028
"156","HBAN",2011-12-31,430274000,434592000,-0.01
"157","HBAN",2012-03-31,462676000,430699000,0.074
"158","HBAN",2012-06-30,444269000,428409000,0.037
"159","HBAN",2012-09-30,458303000,439118000,0.044
"160","HBAN",2012-12-31,470628000,430274000,0.094
"161","HBAN",2013-03-31,442793000,462676000,-0.043
"162","HBAN",2013-06-30,445865000,444269000,0.004
"163","HBAN",2013-09-30,423336000,458303000,-0.076
"164","HBAN",2013-12-31,446009000,470628000,-0.052
"165","HBAN",2014-03-31,460121000,442793000,0.039
"166","HBAN",2014-06-30,458636000,445865000,0.029
"167","HBAN",2014-09-30,480318000,423336000,0.135
"168","HBAN",2014-12-31,483271000,446009000,0.084
"169","HBAN",2015-03-31,458857000,460121000,-0.003
"170","HBAN",2015-06-30,491777000,458636000,0.072
"171","HBAN",2015-09-30,526508000,480318000,0.096
"172","HBAN",2015-12-31,498858000,483271000,0.032
"173","HBAN",2016-03-31,491080000,458857000,0.07
"174","HBAN",2016-06-30,523661000,491777000,0.065
"175","HBAN",2016-09-30,712247000,526508000,0.353
"176","HBAN",2016-12-31,681012000,498858000,0.365
"177","HBAN",2017-03-31,7.07e+08,491080000,0.44
"178","HBAN",2017-06-30,6.94e+08,523661000,0.325
"179","HBAN",2017-09-30,6.8e+08,712247000,-0.045
"180","HBAN",2017-12-31,6.32e+08,681012000,-0.072
"181","HBAN",2018-03-31,6.33e+08,7.07e+08,-0.105
"182","HBAN",2018-06-30,6.52e+08,6.94e+08,-0.061
"183","HBAN",2018-09-30,6.51e+08,6.8e+08,-0.043
"184","HBAN",2018-12-31,7.11e+08,6.32e+08,0.125
"185","HBAN",2019-03-31,6.53e+08,6.33e+08,0.032
"186","HBAN",2019-06-30,7e+08,6.52e+08,0.074
"187","KEY",2009-06-30,8.55e+08,NA,NA
"188","KEY",2009-09-30,9.01e+08,NA,NA
"189","KEY",2009-12-31,8.71e+08,NA,NA
"190","KEY",2010-03-31,7.85e+08,NA,NA
"191","KEY",2010-06-30,7.69e+08,8.55e+08,-0.101
"192","KEY",2010-09-30,7.36e+08,9.01e+08,-0.183
"193","KEY",2010-12-31,7.44e+08,8.71e+08,-0.146
"194","KEY",2011-03-31,7.01e+08,7.85e+08,-0.107
"195","KEY",2011-06-30,6.8e+08,7.69e+08,-0.116
"196","KEY",2011-09-30,6.92e+08,7.36e+08,-0.06
"197","KEY",2011-12-31,6.11e+08,7.44e+08,-0.179
"198","KEY",2012-03-31,6.79e+08,7.01e+08,-0.031
"199","KEY",2012-06-30,6.93e+08,6.8e+08,0.019
"200","KEY",2012-09-30,7.12e+08,6.92e+08,0.029
"201","KEY",2012-12-31,7.34e+08,6.11e+08,0.201
"202","KEY",2013-03-31,6.81e+08,6.79e+08,0.003
"203","KEY",2013-06-30,7.11e+08,6.93e+08,0.026
"204","KEY",2013-09-30,7.16e+08,7.12e+08,0.006
"205","KEY",2013-12-31,7.04e+08,7.34e+08,-0.041
"206","KEY",2014-03-31,6.64e+08,6.81e+08,-0.025
"207","KEY",2014-06-30,6.87e+08,7.11e+08,-0.034
"208","KEY",2014-09-30,7.06e+08,7.16e+08,-0.014
"209","KEY",2014-12-31,7.04e+08,7.04e+08,0
"210","KEY",2015-03-31,6.69e+08,6.64e+08,0.008
"211","KEY",2015-06-30,7.11e+08,6.87e+08,0.035
"212","KEY",2015-09-30,7.24e+08,7.06e+08,0.025
"213","KEY",2015-12-31,7.36e+08,7.04e+08,0.045
"214","KEY",2016-03-31,7.03e+08,6.69e+08,0.051
"215","KEY",2016-06-30,7.51e+08,7.11e+08,0.056
"216","KEY",2016-09-30,1.082e+09,7.24e+08,0.494
"217","KEY",2016-12-31,1.22e+09,7.36e+08,0.658
"218","KEY",2017-03-31,1.013e+09,7.03e+08,0.441
"219","KEY",2017-06-30,9.95e+08,7.51e+08,0.325
"220","KEY",2017-09-30,9.92e+08,1.082e+09,-0.083
"221","KEY",2017-12-31,1.098e+09,1.22e+09,-0.1
"222","KEY",2018-03-31,1.006e+09,1.013e+09,-0.007
"223","KEY",2018-06-30,9.93e+08,9.95e+08,-0.002
"224","KEY",2018-09-30,9.64e+08,9.92e+08,-0.028
"225","KEY",2018-12-31,1.012e+09,1.098e+09,-0.078
"226","KEY",2019-03-31,9.63e+08,1.006e+09,-0.043
"227","KEY",2019-06-30,1.019e+09,9.93e+08,0.026
"228","MTB",2009-06-30,563710000,NA,NA
"229","MTB",2009-09-30,462008000,NA,NA
"230","MTB",2009-12-31,441819000,NA,NA
"231","MTB",2010-03-31,489362000,NA,NA
"232","MTB",2010-06-30,476068000,563710000,-0.155
"233","MTB",2010-09-30,480133000,462008000,0.039
"234","MTB",2010-12-31,331847000,441819000,-0.249
"235","MTB",2011-03-31,499571000,489362000,0.021
"236","MTB",2011-06-30,576895000,476068000,0.212
"237","MTB",2011-09-30,662019000,480133000,0.379
"238","MTB",2011-12-31,577736000,331847000,0.741
